country_code,category,statistic,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
ARG,Rural,Population using at least basic sanitation services (%),97.0,96.0,96.0,96.0,96.0,95.0,95.0,95.0,95.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0
ARG,Urban,Population using at least basic sanitation services (%),95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0
ARG,Total,Population using at least basic sanitation services (%),95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0
ARG,Rural,Population using safely managed sanitation services (%),,,,,,,,,,,,,,,,
ARG,Urban,Population using safely managed sanitation services (%),27.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,25.0,25.0
ARG,Total,Population using safely managed sanitation services (%),29.0,29.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,27.0,27.0,27.0,27.0,27.0,27.0,26.0
ARM,Rural,Population using at least basic sanitation services (%),82.0,82.0,82.0,82.0,82.0,82.0,82.0,82.0,83.0,83.0,83.0,83.0,83.0,83.0,83.0,83.0
ARM,Urban,Population using at least basic sanitation services (%),95.0,95.0,95.0,95.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0
ARM,Total,Population using at least basic sanitation services (%),90.0,90.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,92.0,92.0
ARM,Rural,Population using safely managed sanitation services (%),,,,,,,,,,,,,,,,
ARM,Urban,Population using safely managed sanitation services (%),,,,,,,,,,,,,,,,
ARM,Total,Population using safely managed sanitation services (%),,,,,,,,,,,,,,,,
AUS,Rural,Population using at least basic sanitation services (%),,,,,,,,,,,,,,,,
AUS,Urban,Population using at least basic sanitation services (%),,,,,,,,,,,,,,,,
AUS,Total,Population using at least basic sanitation services (%),100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
AUS,Rural,Population using safely managed sanitation services (%),,,,,,,,,,,,,,,,
AUS,Urban,Population using safely managed sanitation services (%),,,,,,,,,,,,,,,,
AUS,Total,Population using safely managed sanitation services (%),65.0,65.0,65.0,65.0,65.0,66.0,67.0,68.0,69.0,69.0,70.0,71.0,72.0,73.0,73.0,74.0
AUT,Rural,Population using at least basic sanitation services (%),100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
AUT,Urban,Population using at least basic sanitation services (%),100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
AUT,Total,Population using at least basic sanitation services (%),100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
AUT,Rural,Population using safely managed sanitation services (%),92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0
AUT,Urban,Population using safely managed sanitation services (%),99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0
AUT,Total,Population using safely managed sanitation services (%),97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0
AZE,Rural,Population using at least basic sanitation services (%),54.0,56.0,58.0,60.0,62.0,65.0,67.0,69.0,71.0,73.0,76.0,78.0,80.0,82.0,84.0,87.0
AZE,Urban,Population using at least basic sanitation services (%),77.0,78.0,79.0,80.0,81.0,82.0,83.0,84.0,85.0,86.0,87.0,88.0,89.0,90.0,91.0,92.0
AZE,Total,Population using at least basic sanitation services (%),66.0,67.0,69.0,70.0,72.0,74.0,75.0,77.0,78.0,80.0,82.0,83.0,85.0,86.0,88.0,89.0
AZE,Rural,Population using safely managed sanitation services (%),,,,,,,,,,,,,,,,
AZE,Urban,Population using safely managed sanitation services (%),71.0,72.0,72.0,72.0,73.0,73.0,73.0,73.0,73.0,73.0,73.0,73.0,73.0,73.0,73.0,73.0
AZE,Total,Population using safely managed sanitation services (%),,,,,,,,,,,,,,,,
BHS,Rural,Population using at least basic sanitation services (%),,,,,,,,,,,,,,,,
BHS,Urban,Population using at least basic sanitation services (%),,,,,,,,,,,,,,,,
BHS,Total,Population using at least basic sanitation services (%),89.0,89.0,89.0,89.0,90.0,90.0,90.0,91.0,91.0,91.0,91.0,92.0,92.0,92.0,92.0,92.0
BHS,Rural,Population using safely managed sanitation services (%),,,,,,,,,,,,,,,,
BHS,Urban,Population using safely managed sanitation services (%),,,,,,,,,,,,,,,,
BHS,Total,Population using safely managed sanitation services (%),,,,,,,,,,,,,,,,
BHR,Rural,Population using at least basic sanitation services (%),,,,,,,,,,,,,,,,
BHR,Urban,Population using at least basic sanitation services (%),,,,,,,,,,,,,,,,
BHR,Total,Population using at least basic sanitation services (%),100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
BHR,Rural,Population using safely managed sanitation services (%),,,,,,,,,,,,,,,,
BHR,Urban,Population using safely managed sanitation services (%),,,,,,,,,,,,,,,,
BHR,Total,Population using safely managed sanitation services (%),93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0
BGD,Rural,Population using at least basic sanitation services (%),21.0,22.0,24.0,25.0,27.0,28.0,30.0,31.0,33.0,34.0,36.0,37.0,39.0,40.0,42.0,43.0
BGD,Urban,Population using at least basic sanitation services (%),41.0,42.0,42.0,43.0,44.0,45.0,46.0,47.0,48.0,48.0,49.0,50.0,51.0,52.0,53.0,54.0
BGD,Total,Population using at least basic sanitation services (%),25.0,27.0,28.0,30.0,31.0,33.0,34.0,36.0,37.0,39.0,40.0,41.0,43.0,44.0,46.0,47.0
BGD,Rural,Population using safely managed sanitation services (%),15.0,16.0,17.0,19.0,20.0,21.0,22.0,23.0,24.0,25.0,26.0,28.0,29.0,30.0,31.0,32.0
BGD,Urban,Population using safely managed sanitation services (%),,,,,,,,,,,,,,,,
BGD,Total,Population using safely managed sanitation services (%),,,,,,,,,,,,,,,,
BRB,Rural,Population using at least basic sanitation services (%),,,,,,,,,,,,,,,,
BRB,Urban,Population using at least basic sanitation services (%),,,,,,,,,,,,,,,,
BRB,Total,Population using at least basic sanitation services (%),88.0,88.0,89.0,90.0,90.0,91.0,92.0,92.0,93.0,93.0,94.0,95.0,95.0,96.0,96.0,96.0
BRB,Rural,Population using safely managed sanitation services (%),,,,,,,,,,,,,,,,
BRB,Urban,Population using safely managed sanitation services (%),,,,,,,,,,,,,,,,
BRB,Total,Population using safely managed sanitation services (%),,,,,,,,,,,,,,,,
BLR,Rural,Population using at least basic sanitation services (%),97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,96.0,96.0,96.0,96.0,96.0,95.0,95.0,95.0
BLR,Urban,Population using at least basic sanitation services (%),94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0
BLR,Total,Population using at least basic sanitation services (%),95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,94.0,94.0,94.0,94.0,94.0
BLR,Rural,Population using safely managed sanitation services (%),66.0,66.0,66.0,66.0,67.0,68.0,68.0,69.0,70.0,70.0,70.0,71.0,71.0,71.0,71.0,71.0
BLR,Urban,Population using safely managed sanitation services (%),88.0,88.0,88.0,88.0,87.0,86.0,86.0,85.0,84.0,83.0,82.0,81.0,80.0,80.0,79.0,78.0
BLR,Total,Population using safely managed sanitation services (%),82.0,82.0,82.0,82.0,82.0,81.0,81.0,81.0,80.0,80.0,79.0,79.0,78.0,78.0,77.0,76.0
BEL,Rural,Population using at least basic sanitation services (%),99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0
BEL,Urban,Population using at least basic sanitation services (%),99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0
BEL,Total,Population using at least basic sanitation services (%),99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0
BEL,Rural,Population using safely managed sanitation services (%),,,,,,,,,,,,,,,,
BEL,Urban,Population using safely managed sanitation services (%),,,,,,,,,,,,,,,,
BEL,Total,Population using safely managed sanitation services (%),70.0,70.0,70.0,70.0,72.0,74.0,77.0,79.0,81.0,83.0,86.0,88.0,90.0,93.0,95.0,97.0
BLZ,Rural,Population using at least basic sanitation services (%),79.0,79.0,79.0,80.0,80.0,80.0,81.0,81.0,82.0,82.0,82.0,83.0,83.0,83.0,84.0,84.0
BLZ,Urban,Population using at least basic sanitation services (%),87.0,87.0,87.0,88.0,88.0,88.0,89.0,89.0,89.0,89.0,90.0,90.0,90.0,91.0,91.0,91.0
BLZ,Total,Population using at least basic sanitation services (%),83.0,83.0,83.0,83.0,84.0,84.0,84.0,85.0,85.0,85.0,86.0,86.0,86.0,87.0,87.0,87.0
BLZ,Rural,Population using safely managed sanitation services (%),,,,,,,,,,,,,,,,
BLZ,Urban,Population using safely managed sanitation services (%),,,,,,,,,,,,,,,,
BLZ,Total,Population using safely managed sanitation services (%),,,,,,,,,,,,,,,,
BEN,Rural,Population using at least basic sanitation services (%),3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
BEN,Urban,Population using at least basic sanitation services (%),21.0,21.0,21.0,21.0,22.0,22.0,22.0,23.0,23.0,23.0,23.0,24.0,24.0,24.0,25.0,25.0
BEN,Total,Population using at least basic sanitation services (%),10.0,10.0,10.0,11.0,11.0,11.0,11.0,12.0,12.0,12.0,13.0,13.0,13.0,13.0,14.0,14.0
BEN,Rural,Population using safely managed sanitation services (%),,,,,,,,,,,,,,,,
BEN,Urban,Population using safely managed sanitation services (%),,,,,,,,,,,,,,,,
BEN,Total,Population using safely managed sanitation services (%),,,,,,,,,,,,,,,,
BHU,Rural,Population using at least basic sanitation services (%),46.0,46.0,47.0,48.0,48.0,49.0,50.0,51.0,51.0,52.0,53.0,54.0,55.0,55.0,56.0,57.0
BHU,Urban,Population using at least basic sanitation services (%),75.0,75.0,74.0,74.0,74.0,74.0,74.0,73.0,73.0,73.0,73.0,73.0,73.0,72.0,72.0,72.0
BHU,Total,Population using at least basic sanitation services (%),53.0,53.0,54.0,55.0,56.0,57.0,57.0,58.0,59.0,59.0,60.0,61.0,61.0,62.0,62.0,63.0
BHU,Rural,Population using safely managed sanitation services (%),,,,,,,,,,,,,,,,
BHU,Urban,Population using safely managed sanitation services (%),,,,,,,,,,,,,,,,
BHU,Total,Population using safely managed sanitation services (%),,,,,,,,,,,,,,,,
BOL,Rural,Population using at least basic sanitation services (%),18.0,18.0,19.0,20.0,20.0,21.0,21.0,22.0,23.0,23.0,24.0,24.0,25.0,26.0,26.0,27.0
BOL,Urban,Population using at least basic sanitation services (%),51.0,52.0,53.0,54.0,55.0,55.0,56.0,57.0,58.0,59.0,60.0,61.0,62.0,63.0,64.0,64.0
BOL,Total,Population using at least basic sanitation services (%),38.0,39.0,40.0,41.0,42.0,43.0,44.0,45.0,46.0,47.0,48.0,49.0,50.0,51.0,52.0,53.0
BOL,Rural,Population using safely managed sanitation services (%),,,,,,,,,,,,,,,,
BOL,Urban,Population using safely managed sanitation services (%),19.0,19.0,19.0,19.0,20.0,20.0,20.0,20.0,21.0,21.0,21.0,21.0,21.0,22.0,22.0,22.0
BOL,Total,Population using safely managed sanitation services (%),15.0,15.0,15.0,16.0,16.0,16.0,16.0,17.0,17.0,17.0,18.0,18.0,18.0,18.0,19.0,19.0
BIH,Rural,Population using at least basic sanitation services (%),93.0,93.0,93.0,93.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0
BIH,Urban,Population using at least basic sanitation services (%),98.0,98.0,98.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0
BIH,Total,Population using at least basic sanitation services (%),95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0
BIH,Rural,Population using safely managed sanitation services (%),,,,,,,,,,,,,,,,
BIH,Urban,Population using safely managed sanitation services (%),12.0,11.0,11.0,11.0,11.0,11.0,11.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,9.0,9.0
BIH,Total,Population using safely managed sanitation services (%),23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0
BWA,Rural,Population using at least basic sanitation services (%),35.0,35.0,35.0,36.0,36.0,36.0,37.0,37.0,38.0,38.0,38.0,39.0,39.0,39.0,39.0,39.0
BWA,Urban,Population using at least basic sanitation services (%),72.0,72.0,72.0,72.0,73.0,73.0,73.0,74.0,74.0,74.0,74.0,75.0,75.0,75.0,75.0,75.0
BWA,Total,Population using at least basic sanitation services (%),54.0,55.0,55.0,56.0,56.0,57.0,57.0,57.0,58.0,58.0,59.0,59.0,59.0,60.0,60.0,60.0
BWA,Rural,Population using safely managed sanitation services (%),,,,,,,,,,,,,,,,
BWA,Urban,Population using safely managed sanitation services (%),,,,,,,,,,,,,,,,
BWA,Total,Population using safely managed sanitation services (%),,,,,,,,,,,,,,,,
BRA,Rural,Population using at least basic sanitation services (%),36.0,37.0,39.0,40.0,42.0,43.0,45.0,46.0,48.0,49.0,51.0,52.0,54.0,55.0,57.0,58.0
BRA,Urban,Population using at least basic sanitation services (%),82.0,83.0,83.0,84.0,84.0,85.0,86.0,86.0,87.0,87.0,88.0,88.0,89.0,90.0,90.0,91.0
BRA,Total,Population using at least basic sanitation services (%),73.0,74.0,75.0,76.0,77.0,78.0,79.0,79.0,80.0,81.0,82.0,83.0,84.0,85.0,85.0,86.0
BRA,Rural,Population using safely managed sanitation services (%),,,,,,,,,,,,,,,,
BRA,Urban,Population using safely managed sanitation services (%),29.0,29.0,30.0,30.0,31.0,32.0,32.0,33.0,34.0,35.0,36.0,36.0,37.0,38.0,39.0,40.0
BRA,Total,Population using safely managed sanitation services (%),26.0,27.0,28.0,28.0,29.0,30.0,30.0,31.0,32.0,33.0,34.0,35.0,36.0,37.0,38.0,39.0
BRN,Rural,Population using at least basic sanitation services (%),,,,,,,,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0
BRN,Urban,Population using at least basic sanitation services (%),,,,,,,,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0
BRN,Total,Population using at least basic sanitation services (%),,,,,,,,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0
BRN,Rural,Population using safely managed sanitation services (%),,,,,,,,,,,,,,,,
BRN,Urban,Population using safely managed sanitation services (%),,,,,,,,,,,,,,,,
BRN,Total,Population using safely managed sanitation services (%),,,,,,,,,,,,,,,,
BGR,Rural,Population using at least basic sanitation services (%),84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0
BGR,Urban,Population using at least basic sanitation services (%),87.0,87.0,87.0,87.0,87.0,87.0,87.0,87.0,87.0,87.0,87.0,87.0,87.0,87.0,87.0,87.0
BGR,Total,Population using at least basic sanitation services (%),86.0,86.0,86.0,86.0,86.0,86.0,86.0,86.0,86.0,86.0,86.0,86.0,86.0,86.0,86.0,86.0
BGR,Rural,Population using safely managed sanitation services (%),,,,,,,,,,,,,,,,
BGR,Urban,Population using safely managed sanitation services (%),75.0,76.0,76.0,76.0,76.0,77.0,77.0,78.0,78.0,79.0,79.0,80.0,80.0,81.0,81.0,82.0
BGR,Total,Population using safely managed sanitation services (%),67.0,68.0,68.0,68.0,69.0,69.0,70.0,70.0,71.0,71.0,72.0,72.0,73.0,73.0,74.0,74.0
BFA,Rural,Population using at least basic sanitation services (%),2.0,2.0,3.0,3.0,4.0,5.0,6.0,6.0,7.0,8.0,8.0,9.0,10.0,10.0,11.0,12.0
BFA,Urban,Population using at least basic sanitation services (%),44.0,44.0,44.0,45.0,45.0,45.0,45.0,46.0,46.0,46.0,46.0,47.0,47.0,47.0,47.0,48.0
BFA,Total,Population using at least basic sanitation services (%),10.0,10.0,11.0,12.0,13.0,14.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0
BFA,Rural,Population using safely managed sanitation services (%),,,,,,,,,,,,,,,,
BFA,Urban,Population using safely managed sanitation services (%),,,,,,,,,,,,,,,,
BFA,Total,Population using safely managed sanitation services (%),,,,,,,,,,,,,,,,
BDI,Rural,Population using at least basic sanitation services (%),42.0,43.0,43.0,44.0,45.0,45.0,46.0,47.0,47.0,48.0,49.0,49.0,50.0,50.0,51.0,51.0
BDI,Urban,Population using at least basic sanitation services (%),34.0,35.0,36.0,37.0,37.0,38.0,39.0,40.0,41.0,42.0,43.0,43.0,44.0,45.0,46.0,46.0
BDI,Total,Population using at least basic sanitation services (%),41.0,42.0,43.0,43.0,44.0,45.0,45.0,46.0,47.0,47.0,48.0,49.0,49.0,50.0,50.0,50.0
BDI,Rural,Population using safely managed sanitation services (%),,,,,,,,,,,,,,,,
BDI,Urban,Population using safely managed sanitation services (%),,,,,,,,,,,,,,,,
BDI,Total,Population using safely managed sanitation services (%),,,,,,,,,,,,,,,,
CPV,Rural,Population using at least basic sanitation services (%),23.0,25.0,27.0,29.0,31.0,33.0,35.0,38.0,40.0,42.0,44.0,46.0,48.0,50.0,50.0,51.0
CPV,Urban,Population using at least basic sanitation services (%),50.0,52.0,54.0,56.0,57.0,59.0,61.0,63.0,64.0,66.0,68.0,70.0,71.0,73.0,73.0,73.0
CPV,Total,Population using at least basic sanitation services (%),37.0,40.0,42.0,44.0,46.0,48.0,50.0,52.0,55.0,57.0,59.0,61.0,63.0,64.0,65.0,65.0
CPV,Rural,Population using safely managed sanitation services (%),,,,,,,,,,,,,,,,
CPV,Urban,Population using safely managed sanitation services (%),,,,,,,,,,,,,,,,
CPV,Total,Population using safely managed sanitation services (%),,,,,,,,,,,,,,,,
KHM,Rural,Population using at least basic sanitation services (%),4.0,6.0,9.0,11.0,13.0,15.0,18.0,20.0,22.0,25.0,27.0,29.0,32.0,34.0,36.0,39.0
KHM,Urban,Population using at least basic sanitation services (%),49.0,52.0,54.0,57.0,59.0,62.0,65.0,67.0,70.0,72.0,75.0,78.0,80.0,83.0,85.0,88.0
KHM,Total,Population using at least basic sanitation services (%),12.0,15.0,17.0,20.0,22.0,24.0,27.0,29.0,32.0,34.0,37.0,39.0,41.0,44.0,46.0,49.0
KHM,Rural,Population using safely managed sanitation services (%),,,,,,,,,,,,,,,,
KHM,Urban,Population using safely managed sanitation services (%),,,,,,,,,,,,,,,,
KHM,Total,Population using safely managed sanitation services (%),,,,,,,,,,,,,,,,
CMR,Rural,Population using at least basic sanitation services (%),26.0,26.0,25.0,25.0,24.0,24.0,23.0,23.0,22.0,22.0,21.0,21.0,20.0,20.0,19.0,19.0
CMR,Urban,Population using at least basic sanitation services (%),56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0
CMR,Total,Population using at least basic sanitation services (%),40.0,40.0,40.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0
CMR,Rural,Population using safely managed sanitation services (%),,,,,,,,,,,,,,,,
CMR,Urban,Population using safely managed sanitation services (%),,,,,,,,,,,,,,,,
CMR,Total,Population using safely managed sanitation services (%),,,,,,,,,,,,,,,,
CAN,Rural,Population using at least basic sanitation services (%),,,,,,,,,,,,,,,,
CAN,Urban,Population using at least basic sanitation services (%),,,,,,,,,,,,,,,,
CAN,Total,Population using at least basic sanitation services (%),99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0
CAN,Rural,Population using safely managed sanitation services (%),,,,,,,,,,,,,,,,
CAN,Urban,Population using safely managed sanitation services (%),,,,,,,,,,,,,,,,
CAN,Total,Population using safely managed sanitation services (%),73.0,73.0,73.0,74.0,74.0,74.0,75.0,75.0,76.0,76.0,76.0,77.0,77.0,77.0,77.0,77.0
CAF,Rural,Population using at least basic sanitation services (%),8.0,8.0,8.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
CAF,Urban,Population using at least basic sanitation services (%),26.0,28.0,30.0,32.0,34.0,36.0,38.0,39.0,41.0,43.0,45.0,47.0,49.0,49.0,49.0,49.0
CAF,Total,Population using at least basic sanitation services (%),15.0,16.0,17.0,17.0,18.0,19.0,20.0,21.0,21.0,22.0,23.0,24.0,25.0,25.0,25.0,25.0
CAF,Rural,Population using safely managed sanitation services (%),,,,,,,,,,,,,,,,
CAF,Urban,Population using safely managed sanitation services (%),,,,,,,,,,,,,,,,
CAF,Total,Population using safely managed sanitation services (%),,,,,,,,,,,,,,,,
TCD,Rural,Population using at least basic sanitation services (%),6.0,6.0,6.0,6.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0
TCD,Urban,Population using at least basic sanitation services (%),23.0,24.0,24.0,25.0,26.0,26.0,27.0,27.0,28.0,29.0,29.0,30.0,31.0,31.0,32.0,33.0
TCD,Total,Population using at least basic sanitation services (%),10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
TCD,Rural,Population using safely managed sanitation services (%),,,,,,,,,,,,,,,,
TCD,Urban,Population using safely managed sanitation services (%),,,,,,,,,,,,,,,,
TCD,Total,Population using safely managed sanitation services (%),,,,,,,,,,,,,,,,
CHL,Rural,Population using at least basic sanitation services (%),67.0,69.0,72.0,74.0,76.0,78.0,80.0,82.0,85.0,87.0,89.0,91.0,93.0,96.0,98.0,99.0
CHL,Urban,Population using at least basic sanitation services (%),96.0,96.0,96.0,97.0,97.0,97.0,98.0,98.0,98.0,99.0,99.0,99.0,99.0,100.0,100.0,100.0
