country_code,statistic,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
DZA,Measles-containing-vaccine second-dose (MCV2) immunization coverage by the nationally recommended age (%),,,,,,,,,,,,,,,,,,,,,78,73,93,96,94,94,98,95,96,98,95,96,95,93,99,99,96,92
DZA,Neonates protected at birth against neonatal tetanus (PAB) (%),,,,,,,,,,3,75,18,28,40,42,44,45,58,60,62,64,65,66,66,69,69,70,70,71,71,90,90,90,90,92,92,92,98
DZA,Pneumoccocal conjugate vaccines (PCV3) immunization coverage among 1-year-olds (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61,89
DZA,Polio (Pol3) immunization coverage among 1-year-olds (%),,31,31,30,30,69,72,79,85,87,89,89,88,88,87,88,88,89,85,83,86,89,86,87,86,88,95,95,92,94,95,95,95,95,95,95,91,91
AND,Measles-containing-vaccine second-dose (MCV2) immunization coverage by the nationally recommended age (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,80,86,82,86,82,89,91,90,88,90,94
AND,Pneumoccocal conjugate vaccines (PCV3) immunization coverage among 1-year-olds (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93,92,92,98
AND,Polio (Pol3) immunization coverage among 1-year-olds (%),,,,,,,,,,,,,,,,,,90,90,95,95,95,95,99,99,98,93,96,99,99,99,99,99,96,97,97,98,99
AGO,BCG immunization coverage among 1-year-olds (%),,,,25,28,28,32,29,32,47,48,53,47,53,48,60,65,70,61,50,56,71,82,62,72,54,65,80,78,83,93,88,74,75,72,69,58,83
AGO,Measles-containing-vaccine second-dose (MCV2) immunization coverage by the nationally recommended age (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,26,30
AGO,Neonates protected at birth against neonatal tetanus (PAB) (%),,,,8,13,19,25,27,31,32,34,37,41,44,46,48,49,51,52,56,60,64,68,71,73,75,77,78,79,88,75,70,72,75,78,78,78,78
AGO,Pneumoccocal conjugate vaccines (PCV3) immunization coverage among 1-year-olds (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,45,58,59,59
AGO,Polio (Pol3) immunization coverage among 1-year-olds (%),,,,,,13,15,16,13,19,23,26,21,28,28,28,33,38,45,36,27,36,32,33,32,30,26,63,53,49,66,57,58,48,55,57,53,47
AGO,Rotavirus vaccines completed dose (RotaC) immunization coverage among 1-year-olds (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,55,59,58
ATG,Measles-containing-vaccine second-dose (MCV2) immunization coverage by the nationally recommended age (%),,,,,,,,,,,,,,,,,,,,,,,,,,46,68,78,83,94,92,89,90,87,99,84,68,68
ATG,Polio (Pol3) immunization coverage among 1-year-olds (%),36,47,86,99,93,99,96,99,99,99,99,97,99,99,99,99,99,99,99,99,96,99,93,99,97,98,99,98,99,98,99,99,97,98,96,86,87,94
ARG,BCG immunization coverage among 1-year-olds (%),62,70,77,70,78,90,99,94,91,92,99,99,99,99,99,99,99,99,98,96,95,92,95,99,99,99,99,99,99,99,99,99,99,99,99,96,92,95
ARG,Measles-containing-vaccine second-dose (MCV2) immunization coverage by the nationally recommended age (%),,,,,,,,,,,,,,,,,,,,,56,56,83,80,93,88,91,84,88,96,94,91,89,83,96,87,88,89
ARG,Pneumoccocal conjugate vaccines (PCV3) immunization coverage among 1-year-olds (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,86,89,82,82,76
ARG,Polio (Pol3) immunization coverage among 1-year-olds (%),33,40,48,79,72,73,79,85,90,86,90,86,85,82,85,90,90,92,90,91,88,85,94,95,91,95,92,92,94,97,95,93,90,90,92,93,87,84
ARG,Rotavirus vaccines completed dose (RotaC) immunization coverage among 1-year-olds (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61,75,78
ARM,BCG immunization coverage among 1-year-olds (%),,,,,,,,,,,,,88,84,83,84,82,72,95,93,97,96,97,92,96,94,91,94,98,99,95,96,96,99,99,99,99,99
ARM,Measles-containing-vaccine second-dose (MCV2) immunization coverage by the nationally recommended age (%),,,,,,,,,,,,,,,,,,,,,94,96,95,93,94,92,85,93,94,96,97,98,97,97,97,97,97,97
ARM,Pneumoccocal conjugate vaccines (PCV3) immunization coverage among 1-year-olds (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,94,94
ARM,Polio (Pol3) immunization coverage among 1-year-olds (%),,,,,,,,,,,,,92,92,92,93,97,95,96,97,96,97,96,96,93,92,87,90,91,94,96,96,96,96,95,96,96,96
ARM,Rotavirus vaccines completed dose (RotaC) immunization coverage among 1-year-olds (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,91,93,94,94
AUS,Measles-containing-vaccine second-dose (MCV2) immunization coverage by the nationally recommended age (%),,,,,,,,,,,,,,,,,,,,,,,,,85,85,87,89,80,82,88,90,91,92,93,93,94,93
AUS,Pneumoccocal conjugate vaccines (PCV3) immunization coverage among 1-year-olds (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,91,91,91,91,91,91,91,93,94,94
AUS,Polio (Pol3) immunization coverage among 1-year-olds (%),17,43,68,94,94,94,95,95,95,95,72,75,78,80,83,86,86,77,83,88,90,91,92,92,92,92,92,92,92,92,92,92,92,91,92,93,94,95
AUS,Rotavirus vaccines completed dose (RotaC) immunization coverage among 1-year-olds (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,81,82,84,85,84,84,84,85,87,87
AUT,BCG immunization coverage among 1-year-olds (%),90,90,90,90,90,90,90,90,90,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUT,Measles-containing-vaccine second-dose (MCV2) immunization coverage by the nationally recommended age (%),,,,,,,,,,,,,,,,,,,,,35,34,39,46,47,54,61,56,62,64,69,73,78,82,87,88,89,84
AUT,Polio (Pol3) immunization coverage among 1-year-olds (%),90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,95,95,87,79,71,83,82,84,83,86,83,85,83,83,86,89,92,95,98,93,87,90
AUT,Rotavirus vaccines completed dose (RotaC) immunization coverage among 1-year-olds (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,47,61,61,61,61,61,61,61,61,61
AZE,BCG immunization coverage among 1-year-olds (%),,,,,,,,,,,,,69,74,77,76,76,77,79,82,81,83,82,83,82,82,86,88,92,95,98,99,98,98,98,98,98,97
AZE,Measles-containing-vaccine second-dose (MCV2) immunization coverage by the nationally recommended age (%),,,,,,,,,,,,,,,,,,,,,,65,67,66,67,67,68,75,79,83,89,92,95,98,98,98,98,97
AZE,Pneumoccocal conjugate vaccines (PCV3) immunization coverage among 1-year-olds (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64,94,97,96
AZE,Polio (Pol3) immunization coverage among 1-year-olds (%),,,,,,,,,,,,,63,69,68,71,72,73,74,76,75,77,80,79,78,79,80,81,85,84,85,91,92,96,97,98,98,97
BHS,Measles-containing-vaccine second-dose (MCV2) immunization coverage by the nationally recommended age (%),,,,,,,,,,,,,,,,,,,,,,,,,95,88,88,84,80,76,78,79,73,69,72,76,74,76
BHS,Neonates protected at birth against neonatal tetanus (PAB) (%),,,,,,,,61,65,69,71,73,74,76,78,79,80,82,83,84,85,86,87,88,89,90,99,99,99,99,99,99,99,99,99,100,100,100
BHS,Pneumoccocal conjugate vaccines (PCV3) immunization coverage among 1-year-olds (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,1,37,97,96,95,94,93
BHS,Polio (Pol3) immunization coverage among 1-year-olds (%),35,40,67,65,69,84,81,76,84,82,82,91,92,91,91,86,85,86,88,82,91,98,93,93,92,93,94,95,93,97,97,97,99,97,96,95,94,94
BHS,Rotavirus vaccines completed dose (RotaC) immunization coverage among 1-year-olds (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,90
BHR,Measles-containing-vaccine second-dose (MCV2) immunization coverage by the nationally recommended age (%),,,,,,,,,,,,,,,,,,,,,92,99,97,99,99,99,99,99,97,99,98,98,99,99,99,99,99,99
BHR,Neonates protected at birth against neonatal tetanus (PAB) (%),5,36,25,31,34,34,18,13,28,27,48,44,51,57,56,59,63,72,80,76,84,86,94,91,97,97,93,96,99,94,94,94,94,94,98,98,98,98
BHR,Pneumoccocal conjugate vaccines (PCV3) immunization coverage among 1-year-olds (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,96,99,99,99,99,98,98,99,97
BHR,Polio (Pol3) immunization coverage among 1-year-olds (%),72,75,79,83,86,90,92,95,96,96,94,99,94,94,96,95,96,98,98,97,97,99,98,97,98,98,98,97,97,97,99,99,99,99,98,98,99,98
BHR,Rotavirus vaccines completed dose (RotaC) immunization coverage among 1-year-olds (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,49,90,59,96,96,97,97,97,98,97
BGD,BCG immunization coverage among 1-year-olds (%),,1,1,2,2,2,4,15,26,56,86,87,89,93,95,93,90,92,91,92,94,95,95,93,96,97,97,98,99,99,98,99,98,99,99,99,99,99
BGD,Measles-containing-vaccine second-dose (MCV2) immunization coverage by the nationally recommended age (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,70,83,83,93,96
BGD,Neonates protected at birth against neonatal tetanus (PAB) (%),2,1,2,2,2,3,5,8,14,27,70,76,71,70,81,85,87,90,86,87,89,89,89,89,89,89,92,91,91,93,93,94,94,94,96,97,97,98
BGD,Pneumoccocal conjugate vaccines (PCV3) immunization coverage among 1-year-olds (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,97,97
BGD,Polio (Pol3) immunization coverage among 1-year-olds (%),,1,1,1,1,2,4,8,16,49,69,74,67,74,84,69,77,78,79,81,83,85,83,90,88,94,95,96,96,97,94,96,94,96,97,97,97,97
BRB,Measles-containing-vaccine second-dose (MCV2) immunization coverage by the nationally recommended age (%),,,,,,,,,,,,,,,,,,,,,,12,41,71,99,98,94,96,97,97,96,94,90,89,91,89,87,77
BRB,Pneumoccocal conjugate vaccines (PCV3) immunization coverage among 1-year-olds (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75,78,81,84,87,90,97,96,89
BRB,Polio (Pol3) immunization coverage among 1-year-olds (%),99,54,63,62,77,88,80,68,73,80,90,84,89,88,91,93,85,96,93,86,86,93,86,90,93,91,85,93,85,93,90,91,88,91,95,97,97,91
BLR,BCG immunization coverage among 1-year-olds (%),,,,,,,,,,,,,95,93,94,96,97,98,99,99,99,99,99,99,99,99,99,98,98,98,99,99,98,99,98,97,98,98
BLR,Measles-containing-vaccine second-dose (MCV2) immunization coverage by the nationally recommended age (%),,,,,,,,,,,,,,,,,,,,,92,97,98,98,98,98,95,99,99,99,99,99,97,99,98,99,98,98
BLR,Polio (Pol3) immunization coverage among 1-year-olds (%),,,,,,,,,,,,,90,91,92,96,98,98,99,99,99,99,99,53,99,98,97,90,98,98,99,98,98,98,97,99,98,98
BEL,Measles-containing-vaccine second-dose (MCV2) immunization coverage by the nationally recommended age (%),,,,,,,,,,,,,,,,,,,,,,,,,,,78,78,81,83,83,83,85,85,85,85,85,85
BEL,Pneumoccocal conjugate vaccines (PCV3) immunization coverage among 1-year-olds (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93,93,93,94,94,94
BEL,Polio (Pol3) immunization coverage among 1-year-olds (%),99,99,90,90,95,97,99,97,95,95,95,93,94,94,93,92,94,94,95,95,96,96,96,96,96,97,99,99,99,98,98,98,99,99,99,99,98,98
BEL,Rotavirus vaccines completed dose (RotaC) immunization coverage among 1-year-olds (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86,86,86,88,87,87
BLZ,BCG immunization coverage among 1-year-olds (%),71,71,85,81,77,81,94,77,85,91,93,94,97,91,90,92,90,85,93,96,96,98,96,99,99,96,97,99,98,99,98,98,98,99,98,98,94,90
BLZ,Measles-containing-vaccine second-dose (MCV2) immunization coverage by the nationally recommended age (%),,,,,,,,,,,,,,,,,,,,,,,,,,87,92,89,90,92,91,98,93,92,92,95,96,88
BLZ,Neonates protected at birth against neonatal tetanus (PAB) (%),,75,83,89,89,88,88,88,88,88,88,88,88,87,87,87,86,86,85,85,85,84,84,86,86,87,85,87,88,88,88,88,88,88,91,91,91,91
BLZ,Polio (Pol3) immunization coverage among 1-year-olds (%),44,54,65,61,61,61,84,58,63,74,86,80,89,86,84,83,85,85,87,84,91,96,93,95,97,96,98,97,94,98,96,95,98,95,95,94,96,88
BEN,BCG immunization coverage among 1-year-olds (%),,,,,,27,41,46,50,75,92,82,84,89,94,85,80,78,83,87,92,91,90,90,89,88,93,97,96,93,90,88,96,95,96,96,96,96
BEN,Neonates protected at birth against neonatal tetanus (PAB) (%),,,,,,,4,9,13,23,48,71,55,58,61,82,81,82,79,89,87,81,85,84,93,95,95,93,92,92,92,92,93,93,93,85,85,85
BEN,Pneumoccocal conjugate vaccines (PCV3) immunization coverage among 1-year-olds (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,67,70,71,75,75,75
BEN,Polio (Pol3) immunization coverage among 1-year-olds (%),,,,,,16,17,25,30,48,74,68,73,75,82,68,67,66,70,74,78,77,76,75,74,73,76,82,77,80,77,77,80,73,74,78,78,78
BHU,BCG immunization coverage among 1-year-olds (%),43,44,45,46,47,54,60,67,73,93,99,95,90,89,96,98,98,92,94,90,97,81,83,93,92,92,92,94,99,94,96,95,95,97,99,99,99,99
BHU,Measles-containing-vaccine second-dose (MCV2) immunization coverage by the nationally recommended age (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,72,79,85,95,90,89,92,94,90,99
BHU,Neonates protected at birth against neonatal tetanus (PAB) (%),,,,,3,3,6,14,14,39,63,68,58,60,70,78,79,81,85,84,85,86,87,87,86,85,85,84,89,89,89,89,89,83,83,89,89,89
BHU,Polio (Pol3) immunization coverage among 1-year-olds (%),4,11,11,14,27,41,54,63,70,76,96,91,85,82,84,86,86,87,85,89,98,88,89,96,90,95,96,93,96,93,92,95,97,97,98,98,97,97
BOL,BCG immunization coverage among 1-year-olds (%),30,30,31,27,23,24,53,55,56,64,65,67,81,84,92,87,98,88,85,95,92,90,93,96,86,88,87,87,90,93,98,99,99,94,94,99,96,93
BOL,Neonates protected at birth against neonatal tetanus (PAB) (%),,,,,,,,3,11,21,23,25,49,53,56,57,58,60,61,66,67,68,69,69,70,70,71,71,74,74,74,74,76,76,87,87,87,87
BOL,Pneumoccocal conjugate vaccines (PCV3) immunization coverage among 1-year-olds (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56,86,87,83
BOL,Polio (Pol3) immunization coverage among 1-year-olds (%),14,15,12,11,46,30,42,41,40,51,50,52,54,56,60,64,61,57,59,79,74,71,76,82,84,84,82,85,87,92,90,95,93,88,85,88,87,83
BOL,Rotavirus vaccines completed dose (RotaC) immunization coverage among 1-year-olds (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,51,76,87,91,91,85,85,89,87,84
BIH,BCG immunization coverage among 1-year-olds (%),,,,,,,,,,,,,20,24,85,64,80,97,92,99,93,95,91,94,95,95,97,98,96,97,96,94,96,97,98,95,97,97
BIH,Measles-containing-vaccine second-dose (MCV2) immunization coverage by the nationally recommended age (%),,,,,,,,,,,,,,,,,,,,,74,86,90,85,88,90,93,95,92,88,91,88,94,93,92,88,78,80
BIH,Polio (Pol3) immunization coverage among 1-year-olds (%),,,,,,,,,,,,,65,45,69,69,74,80,89,90,87,92,86,87,87,95,91,95,92,90,90,89,87,87,86,74,79,75
BWA,BCG immunization coverage among 1-year-olds (%),92,93,94,94,95,97,99,95,95,92,93,93,94,95,96,96,97,98,99,99,99,99,99,99,99,99,99,99,99,99,98,98,98,98,98,98,98,98
BWA,Measles-containing-vaccine second-dose (MCV2) immunization coverage by the nationally recommended age (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83,85,80,74,74
BWA,Neonates protected at birth against neonatal tetanus (PAB) (%),,29,27,36,41,39,43,50,54,58,59,59,62,63,91,72,75,69,72,80,80,81,82,82,83,83,84,84,85,92,92,92,92,92,92,92,92,93
BWA,Pneumoccocal conjugate vaccines (PCV3) immunization coverage among 1-year-olds (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52,72,95,93,91,89
BWA,Polio (Pol3) immunization coverage among 1-year-olds (%),46,71,77,80,83,85,88,86,89,89,90,91,91,92,93,94,95,95,93,97,97,97,97,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96
BWA,Rotavirus vaccines completed dose (RotaC) immunization coverage among 1-year-olds (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74,85,95,92,88,85
BRA,BCG immunization coverage among 1-year-olds (%),56,62,64,66,75,63,65,68,74,74,79,87,90,95,93,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,90,90
BRA,Measles-containing-vaccine second-dose (MCV2) immunization coverage by the nationally recommended age (%),,,,,,,,,,,,,,,,,,,,,95,95,80,74,68,61,55,49,56,55,53,71,70,69,89,80,77,41
BRA,Neonates protected at birth against neonatal tetanus (PAB) (%),,,,,,,,56,59,62,63,64,68,71,75,78,81,83,86,89,92,92,65,76,78,67,92,92,92,92,92,92,93,93,93,93,93,94
BRA,Pneumoccocal conjugate vaccines (PCV3) immunization coverage among 1-year-olds (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,82,88,94,93,94,84,84
BRA,Polio (Pol3) immunization coverage among 1-year-olds (%),69,39,51,55,55,52,51,53,57,54,58,67,65,64,70,79,80,89,95,99,99,99,99,99,99,99,99,99,99,99,99,98,96,96,96,98,72,91
BRA,Rotavirus vaccines completed dose (RotaC) immunization coverage among 1-year-olds (%),,,,,,,,,,,,,,,,,,,,,,,,,,,47,80,81,86,83,87,86,93,92,94,88,70
BRN,BCG immunization coverage among 1-year-olds (%),99,99,99,99,90,95,85,84,85,88,91,94,97,99,99,99,99,99,96,98,99,99,95,95,99,94,99,96,99,99,95,96,99,99,99,99,99,99
BRN,Measles-containing-vaccine second-dose (MCV2) immunization coverage by the nationally recommended age (%),,,,,,,,,,,,,,,,,,,,,95,95,96,96,97,95,94,92,90,99,93,93,96,92,96,97,97,98
BRN,Neonates protected at birth against neonatal tetanus (PAB) (%),,,,30,48,51,50,45,43,42,40,38,57,58,64,69,74,79,66,62,77,78,79,80,68,64,64,64,65,65,95,95,95,95,95,95,95,96
BRN,Polio (Pol3) immunization coverage among 1-year-olds (%),89,95,99,90,94,88,86,88,89,91,92,94,95,99,99,99,99,99,98,97,99,99,99,99,92,93,94,95,97,99,99,96,92,99,99,99,99,99
BGR,BCG immunization coverage among 1-year-olds (%),99,99,99,99,99,99,99,99,99,99,99,99,99,99,98,99,98,97,98,99,98,98,98,98,98,98,98,98,98,98,98,98,97,97,97,96,96,96
BGR,Measles-containing-vaccine second-dose (MCV2) immunization coverage by the nationally recommended age (%),,,,,,,,,,,,,,,,,,,,,83,85,79,89,91,92,93,94,94,93,96,94,94,94,89,87,88,92
BGR,Pneumoccocal conjugate vaccines (PCV3) immunization coverage among 1-year-olds (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69,94,94,94,92,90,90,91
BGR,Polio (Pol3) immunization coverage among 1-year-olds (%),99,99,99,98,99,99,99,99,99,99,99,81,99,97,94,97,95,96,96,97,94,94,94,96,94,97,96,95,96,94,94,95,95,95,88,91,92,92
BFA,BCG immunization coverage among 1-year-olds (%),,,,,,33,52,57,70,83,95,88,85,80,75,72,73,75,79,77,81,80,90,83,99,99,99,99,99,99,99,99,96,96,98,98,98,98
BFA,Measles-containing-vaccine second-dose (MCV2) immunization coverage by the nationally recommended age (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,50,50,50
BFA,Neonates protected at birth against neonatal tetanus (PAB) (%),,10,11,12,10,8,13,18,22,55,55,55,52,54,58,64,52,63,49,55,57,60,63,67,69,72,76,80,79,85,85,88,88,88,89,92,92,92
BFA,Pneumoccocal conjugate vaccines (PCV3) immunization coverage among 1-year-olds (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91,91,91,91
BFA,Polio (Pol3) immunization coverage among 1-year-olds (%),,,,,,10,21,23,34,44,66,53,41,39,36,35,37,39,15,15,45,62,69,83,83,94,94,93,92,91,90,90,90,89,91,91,91,91
BFA,Rotavirus vaccines completed dose (RotaC) immunization coverage among 1-year-olds (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,91,91,91,91
BDI,BCG immunization coverage among 1-year-olds (%),,59,56,52,46,52,77,82,54,99,97,87,90,73,61,92,90,87,86,84,85,87,88,90,91,89,98,97,99,98,93,90,98,95,92,93,93,92
BDI,Measles-containing-vaccine second-dose (MCV2) immunization coverage by the nationally recommended age (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51,60,65,72,75
BDI,Neonates protected at birth against neonatal tetanus (PAB) (%),,,,11,16,21,35,53,59,65,67,69,70,67,71,61,61,60,44,35,51,55,63,65,66,65,66,76,78,94,94,80,85,85,85,85,85,87
BDI,Pneumoccocal conjugate vaccines (PCV3) immunization coverage among 1-year-olds (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,96,96,95,94,94,91
BDI,Polio (Pol3) immunization coverage among 1-year-olds (%),,39,43,35,21,58,56,71,51,86,97,89,81,64,49,73,72,69,61,70,71,72,74,75,76,82,88,93,89,96,94,95,96,96,95,94,94,91
BDI,Rotavirus vaccines completed dose (RotaC) immunization coverage among 1-year-olds (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84,96,96,93
CPV,BCG immunization coverage among 1-year-olds (%),,,,,,64,93,99,99,99,97,99,99,95,95,94,94,93,94,95,96,96,97,98,99,99,99,99,99,99,99,99,99,94,99,94,96,98
CPV,Measles-containing-vaccine second-dose (MCV2) immunization coverage by the nationally recommended age (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99,94,89,79,95,92,85
CPV,Neonates protected at birth against neonatal tetanus (PAB) (%),,,,,,,,,77,82,75,91,92,91,65,30,24,63,62,64,60,46,62,76,78,70,74,77,78,78,92,92,92,92,92,92,92,92
CPV,Polio (Pol3) immunization coverage among 1-year-olds (%),,,,22,31,39,60,87,85,99,87,88,89,90,89,89,88,87,88,89,90,91,92,93,94,95,97,98,99,99,99,90,94,93,95,93,95,96
KHM,BCG immunization coverage among 1-year-olds (%),,,,,27,33,47,61,58,55,52,56,50,57,63,69,68,67,69,78,81,64,63,76,95,87,87,90,98,96,95,98,99,96,98,99,99,99
KHM,Measles-containing-vaccine second-dose (MCV2) immunization coverage by the nationally recommended age (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,52,62,61,61,61
KHM,Neonates protected at birth against neonatal tetanus (PAB) (%),,,,6,8,9,10,10,10,10,11,11,11,26,34,45,47,46,47,50,58,62,64,71,79,81,84,87,87,91,91,91,91,91,91,93,93,93
KHM,Pneumoccocal conjugate vaccines (PCV3) immunization coverage among 1-year-olds (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68,87,82
KHM,Polio (Pol3) immunization coverage among 1-year-olds (%),,,,,18,26,35,57,45,48,38,39,32,36,38,39,48,56,57,65,62,59,54,69,86,82,80,82,91,95,90,91,90,71,92,92,92,92
CMR,BCG immunization coverage among 1-year-olds (%),,8,27,46,49,54,60,65,71,76,76,69,62,58,59,62,69,75,80,78,78,79,79,82,83,90,96,89,91,81,83,80,81,82,82,74,70,91
CMR,Neonates protected at birth against neonatal tetanus (PAB) (%),,,,,6,10,13,17,20,20,19,19,26,18,18,20,21,40,47,55,54,52,65,71,73,76,81,83,86,91,91,75,85,85,85,85,85,85
CMR,Pneumoccocal conjugate vaccines (PCV3) immunization coverage among 1-year-olds (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,84,88,87,85,84,84
CMR,Polio (Pol3) immunization coverage among 1-year-olds (%),,5,15,25,26,35,42,44,51,54,54,46,37,34,42,46,43,47,53,58,57,61,66,72,72,79,78,81,82,79,83,80,85,88,86,83,83,84
CMR,Rotavirus vaccines completed dose (RotaC) immunization coverage among 1-year-olds (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,73,80,83
CAN,Measles-containing-vaccine second-dose (MCV2) immunization coverage by the nationally recommended age (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94,92,90,88,86,86
CAN,Pneumoccocal conjugate vaccines (PCV3) immunization coverage among 1-year-olds (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,50,58,66,73,79,79,79,79,80
CAN,Polio (Pol3) immunization coverage among 1-year-olds (%),,,,,,,,86,87,87,88,88,89,89,89,89,89,88,88,88,88,88,88,88,91,93,95,90,89,89,88,87,99,91,91,91,91,91
CAF,BCG immunization coverage among 1-year-olds (%),17,26,24,29,32,34,37,42,53,86,96,91,85,81,77,94,86,78,70,62,66,70,71,72,73,74,74,74,74,74,74,74,74,37,74,74,74,74
CAF,Neonates protected at birth against neonatal tetanus (PAB) (%),8,13,18,19,24,24,25,25,34,49,69,77,45,39,31,34,33,29,24,38,36,34,31,32,35,48,52,54,86,86,86,80,66,66,60,60,60,60
