country_code,statistic,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
ASM,Individuals using the Internet (% of population),,,,,,,,,,,,,,,,,,
ASM,Fixed broadband subscriptions (per 100 people),,,,,,,,,,,,,,,,,,
AND,Mobile cellular subscriptions (per 100 people),36.00397614,43.70145973,46.81009008,70.90951327,76.5515975,81.8593328,85.19959008,76.80297038,76.55763704,76.42371717,77.5556845,77.66355029,77.47692009,79.13427737,83.61334461,91.43999795,98.51321800000001,104.3812122
AND,Individuals using the Internet (% of population),10.53883561,,11.26046872,13.54641288,26.83795439,37.60576622,48.936847,70.87,70.04,78.53,81.0,81.0,86.43442462,94.0,95.9,96.91,97.93063712,
AND,Fixed broadband subscriptions (per 100 people),,,1.638852803,4.920608893,8.239336866,13.11194796,18.04644961,22.40605687,24.65031421,27.16132699,29.01396109,30.76142374,32.63941964,34.32935584,36.31521149,39.34422027,42.04138145,44.54492302
AGO,Mobile cellular subscriptions (per 100 people),0.156961981,0.44161117200000005,0.7966926329999999,1.9227210080000001,3.9224591319999997,8.239941385,15.07531265,23.62896447,31.12838486,35.962678100000005,40.23840253,49.85108738,50.94450344,51.10017793,52.20027766,49.83804154,45.12169884,44.73497738
AGO,Individuals using the Internet (% of population),0.105045562,0.13601386699999998,0.270376746,0.370682065,0.46481461799999996,1.143366827,1.5,1.7,1.9,2.3,2.8,3.1,6.5,8.9,10.2,12.4,13.0,
AGO,Fixed broadband subscriptions (per 100 people),,,,,,,0.036807093,0.055720423,0.07326482,0.066520183,0.06418723900000001,0.065309402,0.081733652,0.08570547199999999,0.325960182,0.5512377279999999,0.42735231100000004,0.32540415
ATG,Mobile cellular subscriptions (per 100 people),26.32082695,29.39205474,44.28743653,52.81064919,61.1849485,96.35530458,122.0108304,122.9807071,147.7021562,144.17990830000002,177.44372019999997,183.87989850000002,131.6232163,116.90178279999999,121.40682679999999,176.13562439999998,178.2831334,
ATG,Individuals using the Internet (% of population),6.482225737,8.899285515,12.5,17.22864878,24.26654372,27.0,30.0,34.0,38.0,42.0,47.0,52.0,58.0,63.4,67.78,70.0,73.0,
ATG,Fixed broadband subscriptions (per 100 people),,,,,1.883136748,6.499501417,1.7065148780000001,2.4797277330000003,5.391552585,17.11244804,7.520520595,6.268347977,13.50527501,15.99505234,10.87635904,10.00770593,9.172667215,
ARG,Mobile cellular subscriptions (per 100 people),17.50781462,17.99177877,17.33135177,20.47079124,34.88984757,56.60020383,79.65438363,101.0796712,115.17093259999999,128.63613429999998,138.4689785,145.7687913,152.8090976,158.3489275,142.4663975,142.4348098,145.3305063,139.81460019999997
ARG,Individuals using the Internet (% of population),7.038683086,9.780807285,10.88212438,11.91369655,16.03668411,17.72058337,20.927202100000002,25.94663294,28.11262348,34.0,45.0,51.0,55.8,59.9,64.7,68.04306411,70.96898082,
ARG,Fixed broadband subscriptions (per 100 people),,0.250857258,0.390610876,0.6756804909999999,1.401748719,2.367378841,4.00343134,6.504842205,7.71311722,8.605580959,9.771610825,10.97543337,12.23036065,14.69447819,15.16805073,15.79039594,16.49367591,17.77735924
ARM,Mobile cellular subscriptions (per 100 people),0.569652996,0.8360171829999999,2.351727827,3.7901376030000002,6.775584447000001,10.66811035,42.58110529,63.97460533,49.58359409,75.86762234,134.3391104,111.67186740000001,115.29933840000001,115.64764440000002,119.02529750000001,118.77097649999999,117.428481,119.04396940000001
ARM,Individuals using the Internet (% of population),1.300470022,1.631094667,1.960405046,4.575217225,4.899008571,5.252983352,5.631787777,6.021253397000001,6.21,15.3,25.0,32.0,37.5,41.9,54.62280586,59.10237771,64.34602977,
ARM,Fixed broadband subscriptions (per 100 people),,0.000196679,0.000263687,0.00033136699999999995,0.033326535,0.066750323,,0.132967117,0.47448267299999997,1.3808841980000002,3.252550732,5.584019369,7.358040919,8.400112112999999,9.389688324,9.815697904,10.22867763,10.76008804
ABW,Mobile cellular subscriptions (per 100 people),16.51018679,57.05182028,65.05811016,72.10282734,99.64754854,103.3849507,108.1303554,112.2169532,119.1933145,126.16679640000001,129.636369,,131.60845020000002,134.5130685,134.59222509999998,135.13384,,
ABW,Individuals using the Internet (% of population),15.44282295,17.1,18.8,20.8,23.0,25.4,28.0,30.9,52.0,58.0,62.0,69.0,74.0,78.9,83.78,88.66122693,93.54245387,
ABW,Fixed broadband subscriptions (per 100 people),,,,1.4420153169999999,7.052067613999999,12.27019624,13.83786893,15.80320095,18.15042475,18.53074823,18.90153341,,,18.60699507,18.49800087,18.20952454,,
AUS,Mobile cellular subscriptions (per 100 people),44.90754851,57.77295033,65.05712832,72.83860687,82.61302181,91.012838,96.04538942,101.4958754,103.6429999,102.12042480000001,101.71760809999999,105.8238999,106.6434188,107.72878899999999,106.75337350000001,108.27933090000002,110.0520902,112.6886209
AUS,Individuals using the Internet (% of population),46.75611561,52.68926643,,,,63.0,66.0,69.45,71.67,74.25,76.0,79.48769771,79.0,83.45349717,84.0,84.56051935,88.23865805,86.54472054
AUS,Fixed broadband subscriptions (per 100 people),,0.6373085070000001,1.3252758340000002,2.623753539,5.073081193999999,9.961014191,18.95632686,,24.903370000000002,24.01669991,24.90951202,24.69772973,25.12942751,25.83503958,27.84277929,28.68961085,30.56472875,32.40416447
AUT,Mobile cellular subscriptions (per 100 people),75.80605745,80.77554402,82.8086898,88.96932087,97.26408257,104.98385559999998,112.0253092,119.2523915,129.7123099,136.60630930000002,145.5537959,153.93365659999998,159.52947959999997,154.7253124,150.03214330000003,155.2155247,163.7944858,170.84792280000002
AUT,Individuals using the Internet (% of population),33.73013295,39.18545018,36.56,42.7,54.28,58.0,63.6,69.37,72.87,73.45,75.17,78.73999309999999,80.02999392,80.6188,80.99582496,83.94014193,84.32333129,87.93558659
AUT,Fixed broadband subscriptions (per 100 people),2.360806595,3.9591254260000004,5.54434666,7.350915842999999,10.58805704,14.22400998,17.28480151,19.51446519,20.73526108,22.44343455,24.38064725,24.79590688,25.009545000000003,26.02654159,27.32468303,28.29354818,28.96304317,28.74722124
AZE,Mobile cellular subscriptions (per 100 people),5.17559282,8.905394095,9.595246596,12.64268165,17.23923946,26.25721341,38.51013795,51.79782823,74.22430613,86.92028501,100.7490321,110.6460272,109.2853827,107.93591629999999,111.0350828,111.2258882,104.76715759999999,103.04663740000001
AZE,Individuals using the Internet (% of population),0.147757576,0.305564638,4.999713678,,,8.030375356,11.99217733,14.54,17.08,27.4,46.0,50.0,54.2,73.00000137,75.00001564,77.0,78.2,79.0
AZE,Fixed broadband subscriptions (per 100 people),,,0.01208165,,,0.025577946,0.04582747,0.16734859300000002,0.68012498,1.12052263,5.262078746,10.647590699999999,14.78258251,18.24319177,19.97175647,19.75003026,18.54593591,18.36883899
BHS,Mobile cellular subscriptions (per 100 people),10.58242976,19.97624821,39.38419638,38.71086253,57.67193963,69.17894967,75.33186434,109.2516534,102.6884558,101.1148184,118.7192378,81.51011545,80.63670744,76.07888877,82.38292483,80.44064957,92.06813349,89.42207249
BHS,Individuals using the Internet (% of population),8.0,11.8,18.0,20.0,22.0,25.0,26.0,27.0,31.54,33.88,43.0,65.0,71.74820281,72.0,76.92,78.0,80.0,
BHS,Fixed broadband subscriptions (per 100 people),,1.365398255,2.438890273,3.465127032,3.969602451,4.064401107,4.9402971739999995,5.988408777999999,7.313379757000001,8.901920779,6.8458451579999995,4.227319351,20.946728699999998,19.21588379,20.19211396,20.94365083,21.40903607,21.97181816
BHR,Mobile cellular subscriptions (per 100 people),30.95435847,42.94852405,52.9131549,56.90288181,78.29915840000001,86.27199809,94.68069123,107.73131540000001,129.2656493,118.3071469,126.28318059999998,132.49558580000001,163.34988700000002,168.0227701,174.2741117,183.6239982,210.140748,158.41500380000002
BHR,Individuals using the Internet (% of population),6.1537325460000005,15.03863425,18.05072089,21.55494499,21.45868051,21.30373351,28.24395243,32.91,51.95,53.0,55.0,76.9999665,88.0,90.0000397,90.50313348,93.47830114,97.99998070000001,95.87813575
BHR,Fixed broadband subscriptions (per 100 people),,0.168590307,0.677414616,1.2503996990000001,1.802257763,2.410343152,4.030408571000001,6.588820638,8.399321724,11.77296083,12.48422468,22.80591957,22.71828472,22.8108173,21.51845597,18.44517095,16.29348338,14.31296329
BGD,Mobile cellular subscriptions (per 100 people),0.212036301,0.38774961799999996,0.786965411,0.981880168,1.968444857,6.2747897329999995,13.16038088,23.35883443,29.99882787,34.13606372,44.64297594,54.81622359,62.40405769,73.96847136,79.58713274,81.49814015,83.44924467,88.12405929
BGD,Individuals using the Internet (% of population),0.071039423,0.129807974,0.139920289,0.163877665,0.19903633399999998,0.241637326,1.0,1.8,2.5,3.1,3.7,4.5,5.0,6.63,13.9,14.4,18.246938,
BGD,Fixed broadband subscriptions (per 100 people),,,,,,,,0.029706565,0.033600838,0.21049457600000002,0.272475483,0.304394885,0.38558554100000003,0.968022145,1.9404445190000001,3.0353058980000003,4.045616992,4.430686241
BRB,Mobile cellular subscriptions (per 100 people),10.54931128,19.62096163,35.80142774,51.42181313,73.28619398,75.24935312,86.21286436,93.28118776,104.09023540000001,121.04032749999999,125.21452659999999,123.98993590000002,124.04638030000001,108.9197158,107.78834450000001,117.79450209999999,116.5658465,118.2248993
BRB,Individuals using the Internet (% of population),3.973678355,11.93645034,27.83632242,39.68962712,49.8,52.5,55.3,58.2,61.4,64.7,65.1,66.5,71.2,71.8,75.16,76.11,79.54939789,
BRB,Fixed broadband subscriptions (per 100 people),,,,10.03423224,10.84986323,11.65728133,14.10709027,17.06789788,17.74707106,20.57851833,20.09879493,22.32137448,23.75268569,23.99852748,27.42911587,27.53846533,32.43554295,31.26848407
BLR,Mobile cellular subscriptions (per 100 people),0.496828494,1.401089298,4.71728126,11.47837579,23.14053609,42.60751108,62.24515128,72.97996490000001,85.49192197,102.107906,109.07656029999998,112.9524212,112.71933429999999,117.25450900000001,120.211978,120.688975,120.67315740000001,120.56119040000002
BLR,Individuals using the Internet (% of population),1.860398126,4.300616022,8.950971315,,,,16.2,19.7,23.0,27.43,31.8,39.64889566,46.91,54.17,59.02,67.3,71.11304576,74.43644541
BLR,Fixed broadband subscriptions (per 100 people),,,0.000203933,0.001262827,0.007750414000000001,0.016255189,0.11925795,1.780522402,5.027488787,11.51446848,17.59335489,22.158398899999998,26.730512800000003,29.38992301,28.30141454,30.60896889,32.35775749,33.40909461
BEL,Mobile cellular subscriptions (per 100 people),54.74598263,74.59042376,78.16562364,82.59725088,87.13361692,91.0666428,92.72859242,100.37658090000001,105.2186842,108.424729,111.110074,113.46444950000001,111.0959485,110.435401,113.5087018,113.16582120000001,110.4983466,104.6525275
BEL,Individuals using the Internet (% of population),29.43169169,31.28839551,46.33,49.97,53.86,55.82,59.72,64.44,66.0,70.0,75.0,81.609996,80.71999055,82.1702,85.0,85.0529,86.5165,87.67968082
BEL,Fixed broadband subscriptions (per 100 people),1.4025922690000001,4.457894689,7.867120571,11.92939997,15.45730835,19.06329508,23.08554577,25.51566742,27.66909855,29.03478636,30.83667139,32.1777199,33.31070821,34.33541568,35.75312806,36.50842403,37.59611297,38.31345058
BLZ,Mobile cellular subscriptions (per 100 people),6.797808462999999,15.35586547,19.7283815,22.44380039,27.16515327,33.88909089,40.58511352,39.64853371,52.26985449,51.53490120000001,60.38438099,67.56148388,51.20953012,50.73348035,48.9914528,58.99055911,61.86061468,
BLZ,Individuals using the Internet (% of population),5.963835303,,5.684251214,,9.8,17.0,24.0,24.6,26.3,27.2,28.2,30.7,31.0,33.6,38.7,41.59,44.57574032,
BLZ,Fixed broadband subscriptions (per 100 people),,,,0.349273585,1.023945177,1.7728230669999998,2.491857182,2.506643611,2.62832133,2.6566516630000003,2.772008159,2.9460011180000003,2.961975165,2.876393525,2.814947085,4.837066643,5.995301863,
BEN,Mobile cellular subscriptions (per 100 people),0.8079871240000001,1.76635179,2.998741398,3.140393229,5.926732425,7.469934761,12.84824586,24.26761348,41.68565041,56.27182157,76.90743352,82.07767164,86.41903309,96.2316373,84.19047797,88.1051181,81.7903446,78.50112548
BEN,Individuals using the Internet (% of population),0.22524785100000003,0.36341789,0.702945595,0.951327115,1.182540965,1.2710314390000002,1.537854346,1.79,1.85,2.24,3.13,4.148323066000001,4.5,4.9,6.0,11.25498791,11.99404791,
BEN,Fixed broadband subscriptions (per 100 people),,,0.00028785299999999997,0.000279235,0.001045161,0.002455456,0.018230728,0.008397606,0.09686192199999999,0.213098116,0.293871496,0.396742263,0.42923541200000004,0.424581019,0.441530783,0.692731964,0.204970467,0.257997447
BMU,Mobile cellular subscriptions (per 100 people),20.30361717,20.72819987,46.4324408,61.66178511,75.30930608,80.94580071,92.37200867,106.33051840000002,122.24371370000001,132.1866787,137.9073113,,144.0352016,150.22860880000002,95.36565035,61.28735706,103.6081471,105.94630719999999
BMU,Individuals using the Internet (% of population),42.94986002,47.5096999,52.03159737,56.52201218,60.99086701,65.44706579,69.89965516,74.35059403,82.3,83.25,84.21,88.336,91.29930452,95.3,96.8,98.32360965,98.0,
BMU,Fixed broadband subscriptions (per 100 people),,,,,,28.38476892,36.33862564,44.37989274,52.54158607,62.20549586,62.69935581,,,63.88300329999999,55.67471386,48.38475558,36.96850777,37.17746011
BTN,Mobile cellular subscriptions (per 100 people),0.0,0.0,0.0,0.361706291,2.9889954739999998,5.48246449,12.20984547,21.75373167,36.15507526,47.4398775,54.19100903,65.38588270000001,74.49064833,71.1587911,80.43500659,85.82156655,87.54119321,90.46730476
BTN,Individuals using the Internet (% of population),0.40094444700000004,0.8646285640000001,1.6758025840000002,2.436912399,3.1569841960000002,3.847106745,4.518317258,5.92,6.55,7.17,13.6,14.4,15.6,22.4,30.3,39.8,41.77264453,
BTN,Fixed broadband subscriptions (per 100 people),,,,,,,,,0.293886868,0.472805959,1.192208795,1.787011654,2.2266580080000002,2.677391396,3.2170860119999998,3.5400680230000003,2.0668994,2.068696524
BOL,Mobile cellular subscriptions (per 100 people),6.9862601070000006,9.179408866000001,11.82586618,14.51513095,20.08074274,26.53472299,30.98178952,34.46940955,52.48620943,66.24200154,72.38473309999999,82.88339661,92.7161177,100.2446092,98.94133387,94.76091883,92.82077083,99.20033298
BOL,Individuals using the Internet (% of population),1.442763585,2.120462534,3.117192947,3.508596401,4.439924601,5.227583957,6.200671255,10.49924432,12.5,16.8,22.4,30.0,35.34,36.99,34.6,35.56227065,39.6975146,
BOL,Fixed broadband subscriptions (per 100 people),,,0.038482229,0.065150129,0.09727087300000001,0.142163491,0.189468568,0.35987079899999996,0.8261999790000001,0.985105876,0.96738918,0.7297032859999999,1.139837429,1.481673927,1.635868197,1.68723522,2.641367715,3.245502914
BIH,Mobile cellular subscriptions (per 100 people),2.479248447,11.79203157,19.83099242,28.43926317,37.22121595,42.16195561,49.94935795,64.9291203,84.46797866,86.93943593,83.56160151,85.96907179,92.03281070000001,96.76338329,97.90202025,97.38568949,96.79332099999999,98.09148345
BIH,Individuals using the Internet (% of population),1.08296075,1.2005269509999998,2.6482679140000003,3.9650368339999997,15.46897162,21.326701,25.12238569,27.92,34.66,37.74,42.75,43.88768653,45.06450043,48.52131417,49.91773243,52.6,60.26,69.49115242
BIH,Fixed broadband subscriptions (per 100 people),0.000716807,0.0018030989999999998,0.005641178,0.039690446000000004,0.175522249,0.362340111,1.058350011,2.244064653,5.0074410160000005,7.796830213,10.50223477,11.66339782,12.86653692,14.31634239,15.21045137,17.95797522,18.8371527,18.92405996
BWA,Mobile cellular subscriptions (per 100 people),12.85568812,18.93312288,18.66700975,24.66155196,28.58095587,30.37860778,43.68184911,60.16258761,76.3372588,94.65720684,117.29866899999999,141.3838961,147.4993479,152.5382345,157.26964230000002,157.3117744,146.16026589999998,141.4078697
BWA,Individuals using the Internet (% of population),2.902666622,3.430886787,3.385922351,3.345190174,3.3048892530000002,3.262554036,4.289932975,5.28,6.25,6.15,6.0,9.0,16.0,30.0,36.74474744,37.31205037,39.36299738,
BWA,Fixed broadband subscriptions (per 100 people),,,,,,0.086213771,0.09552933300000001,0.184912981,0.45726593,0.505080606,0.594481221,0.9323178670000001,1.064272261,1.0143260040000002,1.535110877,1.6678005630000001,2.624452286,2.133867095
BRA,Mobile cellular subscriptions (per 100 people),13.22864408,16.17196098,19.36206845,25.41249446,35.51236744,46.12216626,52.86352359,63.3315358,78.06102237,86.91075624,100.0679429,117.9533009,123.8145622,133.9368763,137.468532,125.1755852,117.5362334,112.9965568
BRA,Individuals using the Internet (% of population),2.8706851589999998,4.528494869,9.149425086,13.2075861,19.07367227,21.02274725,28.17838018,30.88,33.83,39.22,40.65,45.69,48.56,51.04,54.55100188,58.32795173,60.87254007,
BRA,Fixed broadband subscriptions (per 100 people),0.057049105,0.186215894,0.40577066700000003,0.529504944,1.70915468,1.730069365,2.522060297,3.983450748,5.190674888999999,6.018592091,7.165222223,8.975463419,9.533083511000001,10.55322334,11.73692977,12.37241075,12.88524721,13.69881595
VGB,Mobile cellular subscriptions (per 100 people),,,37.15918064,,,,,83.70061866,89.82971411,177.83113400000002,174.56655890000002,167.008351,170.83377180000002,183.8036894,185.0885494,189.93457969999997,,
VGB,Individuals using the Internet (% of population),,,18.88574127,,,,,,,36.0,37.0,37.4,37.6,,,,,
VGB,Fixed broadband subscriptions (per 100 people),,,,,,,,,,29.07702197,25.26814575,26.16752088,26.07948367,21.27615639,21.60673246,22.11669379,20.29614168,17.70739838
BRN,Mobile cellular subscriptions (per 100 people),28.50789669,42.04553139,44.29565222,50.18973426,56.31183539999999,63.78061004,81.40445645,97.67222246,105.1693861,107.58523290000001,111.9492001,112.47370009999999,117.5090307,115.5522582,109.80073059999998,110.9790153,123.69044129999999,127.0669027
BRN,Individuals using the Internet (% of population),8.996284533999999,12.91776908,15.32987986,19.59500322,29.71560414,36.46639195,42.18634916,44.68,46.0,49.0,53.0,56.0,60.27306504,64.5,68.77,71.2,90.0,
BRN,Fixed broadband subscriptions (per 100 people),,0.557455229,0.794829142,1.08605531,1.741752266,2.225338073,2.421066847,3.098990567,4.453766889,5.2189841889999995,5.583000139,5.8843236139999995,4.965378188,6.79218961,7.349697841,8.244679577000001,8.534107127999999,9.612616837000001
BGR,Mobile cellular subscriptions (per 100 people),9.227552572,19.54468204,33.02211545,44.86061487,61.08187710000001,81.27426627,108.24210330000001,130.7987803,138.8622153,140.219688,137.7516108,142.39776640000002,147.4715073,144.3245321,131.35885530000002,128.1054159,125.8343483,120.4435385
BGR,Individuals using the Internet (% of population),5.370923469,7.612297749,9.08,12.04,18.13,19.97,27.09,33.64,39.67,45.0,46.23,47.97999305,51.89998767,53.0615,55.49,56.6563,59.82554766,63.41010138
BGR,Fixed broadband subscriptions (per 100 people),,,,,0.08589401099999999,2.153489117,5.044905815,8.313469537000001,11.23188845,13.3856087,15.18953784,17.0848234,18.21718506,19.56405745,20.50483617,22.49480174,23.80412856,24.91021686
BFA,Mobile cellular subscriptions (per 100 people),0.217480411,0.6378286670000001,0.903051305,1.88147871,3.038539606,4.720289854,7.351160521000001,13.03701419,20.58683736,25.25328578,36.57655001,47.76859755,60.20140586,65.84120178,71.04746583,79.77028842,82.61118896,93.50293242
BFA,Individuals using the Internet (% of population),0.077080169,0.157732465,0.200992598,0.373440303,0.400295285,0.469914489,0.632707564,0.75,0.92,1.13,2.4,3.0,3.7250349160000003,9.1,9.4,11.38764617,13.96,
BFA,Fixed broadband subscriptions (per 100 people),,,0.000406732,0.001145826,0.0011818360000000001,0.0028609890000000004,0.012401316,0.047235405999999994,0.069885579,0.078904444,0.08782319400000001,0.087446113,0.086463178,0.075922277,0.030751775,0.039810887,0.074303756,0.073290887
BDI,Mobile cellular subscriptions (per 100 people),0.254971873,0.509714332,0.771333795,0.920451027,1.400079165,2.0610810109999997,2.605748437,3.400686662,5.8520281370000005,10.84633806,19.14044027,21.17083327,24.11154424,26.42481094,32.28189236,49.00052651,50.90988631,54.49630416
BDI,Individuals using the Internet (% of population),0.077248447,0.106001245,0.11822841199999999,0.201273197,0.349060462,0.5421428660000001,0.65759259,0.7,0.81,0.9,1.0,1.11,1.219999945,1.264218111,1.38,4.866224464,5.173626777,
BDI,Fixed broadband subscriptions (per 100 people),,,,,,,,,0.0019483060000000001,0.001884785,0.004015089,0.005495655,0.007532423000000001,0.015978857,0.017185969,0.035679024,0.03748533,0.036026433
CPV,Mobile cellular subscriptions (per 100 people),4.534578778,7.100713068999999,9.49976333,11.59238243,14.06565397,17.22011855,22.64125043,31.29114091,56.46878425,58.4794039,74.02126659999999,78.02691377,82.74851696,96.03004003,116.51498659999999,114.74068,111.5642375,112.05571859999999
CPV,Individuals using the Internet (% of population),1.822443852,2.685332713,3.518757175,4.3248853910000005,5.31883207,6.074087107,6.808911008,8.28321982,14.0,21.0,30.0,32.0,34.74,37.5,40.26,42.68,50.32281787,57.16214635
CPV,Fixed broadband subscriptions (per 100 people),,,,,0.060513530999999995,0.19744314300000002,0.37729177700000005,0.7879729790000001,1.500844988,2.207810239,3.1989474189999996,4.198658838,3.862609173,4.076476718,3.6236054839999996,3.108950241,2.8803098819999997,2.65251067
KHM,Mobile cellular subscriptions (per 100 people),1.074252774,1.801721318,3.007583305,3.8775631510000004,6.594772546000001,8.002893099,12.77710791,18.888469600000004,30.52481721,44.48479398,56.96353418,94.62861382,129.2907102,134.89269430000002,133.9287751,134.3667576,126.34840449999999,116.04211289999999
KHM,Individuals using the Internet (% of population),0.04702264,0.076956056,0.226983238,0.26057019800000003,0.300436644,0.317321781,0.46835672,0.49,0.51,0.53,1.26,3.1,4.94,6.8,14.0,22.32743536,32.39845171,33.99999913
KHM,Fixed broadband subscriptions (per 100 people),,,0.000395735,0.0032599079999999997,0.005970891,0.007535681,0.021522152000000003,0.061783940999999995,0.11954893,0.21291381899999998,0.249260242,0.151328742,0.201219934,0.217324565,0.43292455700000004,0.538123238,0.613524489,0.810040478
CMR,Mobile cellular subscriptions (per 100 people),0.676164841,2.662691065,4.361280521,6.521809427000001,9.026833471,12.92999545,17.51968009,24.65835324,32.58523506,41.18926084,43.24706023,51.10324351,62.17540968,72.33502103,76.61480463,79.53162759,79.85559142,81.92504638
CMR,Individuals using the Internet (% of population),0.252120078,0.277051322,0.36087158399999997,0.587622611,0.976075415,1.402654226,2.028744791,2.93,3.4,3.84,4.3,5.0,7.5,10.0,16.21487223,20.68014766,25.0,23.20297197
CMR,Fixed broadband subscriptions (per 100 people),,,,,,0.001159534,0.002352013,0.0034791329999999997,0.004548578,0.004631407,0.029813983,0.052206465,0.065675688,0.078039446,0.073057869,0.070069345,0.19614159899999997,0.175095527
CAN,Mobile cellular subscriptions (per 100 people),28.39362459,34.32422881,37.9044158,42.02314887,47.01181245,52.70258468,57.43244785,61.40957528,66.13620397,70.47060993,75.58210932,77.71010667,79.42532966,80.44136099,80.85723896,82.79621957,84.74001333,85.89566696
CAN,Individuals using the Internet (% of population),51.3,60.2,61.59329927,64.2,65.95596346,71.66,72.4,73.2,76.7,80.3,80.3,83.0,83.0,85.8,87.12,88.47,91.16,
CAN,Fixed broadband subscriptions (per 100 people),4.590520628999999,9.141094273,11.22254225,14.26908967,16.95179602,21.69228301,24.64046864,27.48437519,29.46396102,30.452949,31.65795927,32.66655803,33.49477897,34.30517994,35.298682799999995,36.24507781,36.89030219,38.01449419
CYM,Mobile cellular subscriptions (per 100 people),25.66747427,39.24646782,42.46948902,45.71130616,71.46028457,166.4781375,185.003298,197.14663090000002,185.7555833,200.259769,181.180752,171.0475618,171.8164908,167.9532645,153.8886636,155.50255990000002,157.4195672,
CYM,Individuals using the Internet (% of population),,,,,,38.03438308,44.5,52.0,61.0,64.5,66.0,69.46594499,69.7,71.4,74.1,77.0,79.0,
CYM,Fixed broadband subscriptions (per 100 people),,,,,,,,,33.12171711,33.70548463,33.96328391,33.25615511,33.59525755,34.83750493,39.6623403,45.66649434,40.37686168,
CAF,Mobile cellular subscriptions (per 100 people),0.132277457,0.287041161,0.322447572,1.004604858,1.479641611,2.422533437,2.617951819,7.951728332,13.11736173,19.60935283,22.01250976,22.17180691,25.45675055,30.23122005,25.59290533,27.330987,27.16972738,
CAF,Individuals using the Internet (% of population),0.053394174,0.078543428,0.128537117,0.15156333800000002,0.223401395,0.268195609,0.311159173,0.37581596100000003,1.0,1.8,2.0,2.2,3.0,3.4,3.6,3.8,4.0,
CAF,Fixed broadband subscriptions (per 100 people),,,,,,,,,,,,0.018095896,0.013473138999999999,,,0.019797189,,
TCD,Mobile cellular subscriptions (per 100 people),0.065927014,0.25395324399999997,0.3799287,0.694949248,1.266729715,2.086021777,4.472327993,8.522465531,14.37057639,19.83276052,24.18823202,29.82964526,34.64962789,34.72960057,38.70138174,39.01517501,38.64862398,
TCD,Individuals using the Internet (% of population),0.035707076000000004,0.045934134,0.166069665,0.320308555,0.36092010700000005,0.39925770000000005,0.581045764,0.8472245209999999,1.19,1.5,1.7,1.9,2.1,2.5,2.9,3.5,5.0,
TCD,Fixed broadband subscriptions (per 100 people),,,,,,,,,,0.002581983,0.0027845070000000003,0.12856578,0.153119192,0.11184300000000001,0.074660424,0.080924161,0.072443998,0.070268485
CHI,Mobile cellular subscriptions (per 100 people),,,,,,,,,,,,,,,,,,
CHI,Individuals using the Internet (% of population),,,,,,,,,,,,,,,,,,
CHI,Fixed broadband subscriptions (per 100 people),,,,,,,,,,,,,,,,,,
